lga,Population_2024,_2024_Density_per_sq_km,Number_of_Registered_Businesses_2024,Unemployment_Rate_2024,avg_rent_2024,Apartment_Rooms,Population_2023,_2023_Density_per_sq_km,Number_of_Registered_Businesses_2023,Unemployment_Rate_2023,avg_rent_2023
Amuwo-Odofin,904491,NULL,NULL,5.28,3133333,2,895536,NULL,NULL,5.35,NULL
Amuwo-Odofin,904491,NULL,NULL,5.28,3200000,3,895536,NULL,NULL,5.35,NULL
Eti-Osa,1669037,3300,432,5.13,3270833,1,1652512,3796,383,5.20,1160000
Eti-Osa,1669037,3300,432,5.13,5490983,2,1652512,3796,383,5.20,1160000
Eti-Osa,1669037,3300,432,5.13,3270833,1,1652512,3796,383,5.20,4700000
Eti-Osa,1669037,3300,432,5.13,5490983,2,1652512,3796,383,5.20,3100000
Eti-Osa,1669037,3300,432,5.13,3270833,1,1652512,3796,383,5.20,3100000
Eti-Osa,1669037,3300,432,5.13,5490983,2,1652512,3796,383,5.20,4700000
Eti-Osa,1669037,3300,432,5.13,8767726,3,1652512,3796,383,5.20,1160000
Eti-Osa,1669037,3300,432,5.13,8767726,3,1652512,3796,383,5.20,3100000
Eti-Osa,1669037,3300,432,5.13,8767726,3,1652512,3796,383,5.20,4700000
Ibeju-Lekki,1279823,NULL,NULL,5.36,1193137,2,1267151,NULL,NULL,5.43,NULL
Ibeju-Lekki,1279823,NULL,NULL,5.36,1300000,1,1267151,NULL,NULL,5.43,NULL
Ibeju-Lekki,1279823,NULL,NULL,5.36,2106666,3,1267151,NULL,NULL,5.43,NULL
Ifako-Ijaiye,1476188,NULL,NULL,5.17,1400000,2,1461572,NULL,NULL,5.24,NULL
Ifako-Ijaiye,1476188,NULL,NULL,5.17,3166666,3,1461572,NULL,NULL,5.24,NULL
Ikeja,2773688,22122,0,5.05,7750000,1,2746226,21467,0,5.12,610000
Ikeja,2773688,22122,0,5.05,7750000,1,2746226,21467,0,5.12,1300000
Ikeja,2773688,22122,0,5.05,3735714,2,2746226,21467,0,5.12,610000
Ikeja,2773688,22122,0,5.05,7750000,1,2746226,21467,0,5.12,1900000
Ikeja,2773688,22122,0,5.05,3735714,2,2746226,21467,0,5.12,1300000
Ikeja,2773688,22122,0,5.05,3735714,2,2746226,21467,0,5.12,1900000
Ikeja,2773688,22122,0,5.05,8978750,3,2746226,21467,0,5.12,610000
Ikeja,2773688,22122,0,5.05,8978750,3,2746226,21467,0,5.12,1300000
Ikeja,2773688,22122,0,5.05,8978750,3,2746226,21467,0,5.12,1900000
Ikorodu,2683254,2655,70,5.07,300000,1,2656687,2562,62,5.14,200000
Ikorodu,2683254,2655,70,5.07,300000,1,2656687,2562,62,5.14,400000
Ikorodu,2683254,2655,70,5.07,818750,2,2656687,2562,62,5.14,400000
Ikorodu,2683254,2655,70,5.07,818750,2,2656687,2562,62,5.14,200000
Ikorodu,2683254,2655,70,5.07,300000,1,2656687,2562,62,5.14,1000000
Ikorodu,2683254,2655,70,5.07,818750,2,2656687,2562,62,5.14,1000000
Ikorodu,2683254,2655,70,5.07,900000,3,2656687,2562,62,5.14,400000
Ikorodu,2683254,2655,70,5.07,900000,3,2656687,2562,62,5.14,200000
Ikorodu,2683254,2655,70,5.07,900000,3,2656687,2562,62,5.14,1000000
Ikoyi,NULL,NULL,NULL,NULL,3275000,2,NULL,NULL,NULL,NULL,NULL
Ikoyi,NULL,NULL,NULL,NULL,500000,1,NULL,NULL,NULL,NULL,NULL
Ikoyi,NULL,NULL,NULL,NULL,9800000,3,NULL,NULL,NULL,NULL,NULL
Ipaja,NULL,NULL,925,NULL,1300000,2,NULL,NULL,819,NULL,NULL
Isolo,2254609,NULL,0,5.04,2400000,2,2232286,NULL,0,5.11,1000000
Isolo,2254609,NULL,0,5.04,2400000,2,2232286,NULL,0,5.11,800000
Isolo,2254609,NULL,0,5.04,2620000,3,2232286,NULL,0,5.11,800000
Isolo,2254609,NULL,0,5.04,2400000,2,2232286,NULL,0,5.11,500000
Isolo,2254609,NULL,0,5.04,2620000,3,2232286,NULL,0,5.11,1000000
Isolo,2254609,NULL,0,5.04,2620000,3,2232286,NULL,0,5.11,500000
Kosofe,2343771,12466,132,4.91,2827586,2,2320565,12278,117,4.98,2000000
Kosofe,2343771,12466,132,4.91,2827586,2,2320565,12278,117,4.98,600000
Kosofe,2343771,12466,132,4.91,4323529,3,2320565,12278,117,4.98,600000
Kosofe,2343771,12466,132,4.91,4323529,3,2320565,12278,117,4.98,2000000
Kosofe,2343771,12466,132,4.91,2827586,2,2320565,12278,117,4.98,1200000
Kosofe,2343771,12466,132,4.91,4323529,3,2320565,12278,117,4.98,1200000
Lagos Island,2293150,156067,NULL,5.11,15417770,3,2270446,150310,NULL,5.18,NULL
Lagos Island,2293150,156067,NULL,5.11,10398968,2,2270446,150310,NULL,5.18,NULL
Lagos Island,2293150,156067,NULL,5.11,650000,1,2270446,150310,NULL,5.18,NULL
Lagos Mainland,2678231,52990,NULL,5.15,14891205,3,2651714,51852,NULL,5.22,NULL
Lagos Mainland,2678231,52990,NULL,5.15,8214929,2,2651714,51852,NULL,5.22,NULL
Lagos Mainland,2678231,52990,NULL,5.15,215000,1,2651714,51852,NULL,5.22,NULL
Mushin,2510923,76830,162,5.10,2750000,2,2485072,75580,144,5.17,500000
Mushin,2510923,76830,162,5.10,2750000,2,2485072,75580,144,5.17,1700000
Mushin,2510923,76830,162,5.10,2750000,2,2485072,75580,144,5.17,1100000
Mushin,2510923,76830,162,5.10,100000,3,2485072,75580,144,5.17,500000
Mushin,2510923,76830,162,5.10,100000,3,2485072,75580,144,5.17,1100000
Mushin,2510923,76830,162,5.10,100000,3,2485072,75580,144,5.17,1700000
Ojo,3035994,9120,NULL,4.94,700000,2,3005935,9020,NULL,5.01,NULL
Ojo,3035994,9120,NULL,4.94,1200000,3,3005935,9020,NULL,5.01,NULL
Ojodu,NULL,NULL,NULL,NULL,700000,1,NULL,NULL,NULL,NULL,NULL
Ojodu,NULL,NULL,NULL,NULL,3925000,2,NULL,NULL,NULL,NULL,NULL
Ojodu,NULL,NULL,NULL,NULL,2462500,3,NULL,NULL,NULL,NULL,NULL
Oshodi-Isolo,NULL,NULL,NULL,NULL,1400000,2,NULL,NULL,NULL,NULL,NULL
Oshodi-Isolo,NULL,NULL,NULL,NULL,1900000,3,NULL,NULL,NULL,NULL,NULL
Shomolu,2138857,NULL,NULL,4.82,3150000,2,2117680,NULL,NULL,4.89,NULL
Surulere,2030582,76830,698,4.96,3071428,2,2010477,75580,618,5.03,1100000
Surulere,2030582,76830,698,4.96,1700000,1,2010477,75580,618,5.03,600000
Surulere,2030582,76830,698,4.96,3071428,2,2010477,75580,618,5.03,600000
Surulere,2030582,76830,698,4.96,1700000,1,2010477,75580,618,5.03,2000000
Surulere,2030582,76830,698,4.96,4444444,3,2010477,75580,618,5.03,1100000
Surulere,2030582,76830,698,4.96,1700000,1,2010477,75580,618,5.03,1100000
Surulere,2030582,76830,698,4.96,3071428,2,2010477,75580,618,5.03,2000000
Surulere,2030582,76830,698,4.96,4444444,3,2010477,75580,618,5.03,600000
Surulere,2030582,76830,698,4.96,4444444,3,2010477,75580,618,5.03,2000000
Yaba,NULL,NULL,NULL,NULL,1396666,1,NULL,NULL,NULL,NULL,NULL
Yaba,NULL,NULL,NULL,NULL,4925000,3,NULL,NULL,NULL,NULL,NULL
Yaba,NULL,NULL,NULL,NULL,3000000,2,NULL,NULL,NULL,NULL,NULL
