LGA,Number_of_Registered_Businesses,no_of_business_2024,_2023_Population,_2023_Density_per_sq_km,_2024_Population,_2024_Density_per_sq_km,average_rent,Bedrooms,Toilets
eti-osa,383,478.75,1296256,3796,1341370,3300,6925000,2,1
eti-osa,383,478.75,1296256,3796,1341370,3300,3583333.3333333335,1,2
ikeja,0,0,1074244,21467,1108892,22122,12375000,4,4
ikeja,0,0,1074244,21467,1108892,22122,10000000,8,8
ikorodu,62,77.5,653615,2562,665490,2655,300000,2,2
ikorodu,62,77.5,653615,2562,665490,2655,1000000,4,5
kosofe,117,146.25,711525,12278,723165,12466,12000000,5,1
kosofe,117,146.25,711525,12278,723165,12466,2000000,2,2
kosofe,117,146.25,711525,12278,723165,12466,3000000,3,2
kosofe,117,146.25,711525,12278,723165,12466,2780000.32,2,3
kosofe,117,146.25,711525,12278,723165,12466,11666666.666666666,4,6
kosofe,117,146.25,711525,12278,723165,12466,9500000,5,6
lagos island,12,15,283173,150310,290732,156067,15000000,3,2
lagos island,12,15,283173,150310,290732,156067,7954545.454545454,2,3
lagos island,12,15,283173,150310,290732,156067,13500000,3,3
lagos mainland,0,0,561881,51852,573825,52990,15000000,5,1
lagos mainland,0,0,561881,51852,573825,52990,15000000,7,4
lagos mainland,0,0,561881,51852,573825,52990,250000,1,5
lagos mainland,0,0,561881,51852,573825,52990,12266666.666666666,4,5
lagos mainland,0,0,561881,51852,573825,52990,10000000,5,6
mushin,144,180,819755,75580,831205,76830,4500000,2,3
surulere,618,772.5,819755,75580,831205,76830,5500000,4,5
eti-osa,383,478.75,1296256,3796,1341370,3300,7500000,4,3
eti-osa,383,478.75,1296256,3796,1341370,3300,18000000,5,3
eti-osa,383,478.75,1296256,3796,1341370,3300,7759864.580270793,3,4
eti-osa,383,478.75,1296256,3796,1341370,3300,7160000,3,5
eti-osa,383,478.75,1296256,3796,1341370,3300,800000,1,6
ikeja,0,0,1074244,21467,1108892,22122,5250000,4,3
ikeja,0,0,1074244,21467,1108892,22122,7016129.0322580645,3,4
ikorodu,62,77.5,653615,2562,665490,2655,600000,3,2
ikorodu,62,77.5,653615,2562,665490,2655,966666.6666666666,2,3
ikorodu,62,77.5,653615,2562,665490,2655,3500000,6,7
lagos island,12,15,283173,150310,290732,156067,5000000,2,2
lagos island,12,15,283173,150310,290732,156067,12761904.761904761,4,5
lagos mainland,0,0,561881,51852,573825,52990,1500000,3,2
lagos mainland,0,0,561881,51852,573825,52990,7745454.545454546,2,3
lagos mainland,0,0,561881,51852,573825,52990,5000000,3,3
lagos mainland,0,0,561881,51852,573825,52990,18000000,6,7
surulere,618,772.5,819755,75580,831205,76830,1700000,1,1
surulere,618,772.5,819755,75580,831205,76830,3000000,2,2
eti-osa,383,478.75,1296256,3796,1341370,3300,17500000,3,1
eti-osa,383,478.75,1296256,3796,1341370,3300,4775012.5,3,2
eti-osa,383,478.75,1296256,3796,1341370,3300,8250000,4,2
eti-osa,383,478.75,1296256,3796,1341370,3300,1933333.3333333333,1,3
eti-osa,383,478.75,1296256,3796,1341370,3300,5232891.832229581,2,3
eti-osa,383,478.75,1296256,3796,1341370,3300,6438405.797101449,3,3
eti-osa,383,478.75,1296256,3796,1341370,3300,4333333.333333333,2,4
eti-osa,383,478.75,1296256,3796,1341370,3300,15000000,7,5
eti-osa,383,478.75,1296256,3796,1341370,3300,12000000,6,6
eti-osa,383,478.75,1296256,3796,1341370,3300,5000000,5,7
eti-osa,383,478.75,1296256,3796,1341370,3300,13937500,6,7
eti-osa,383,478.75,1296256,3796,1341370,3300,1000000,1,8
eti-osa,383,478.75,1296256,3796,1341370,3300,18000000,6,8
ikeja,0,0,1074244,21467,1108892,22122,2275000,2,2
ikeja,0,0,1074244,21467,1108892,22122,500000,1,3
ikeja,0,0,1074244,21467,1108892,22122,13200000,4,5
ikeja,0,0,1074244,21467,1108892,22122,15000000,4,6
ikeja,0,0,1074244,21467,1108892,22122,9750000,5,6
kosofe,117,146.25,711525,12278,723165,12466,4321428.571428572,3,4
kosofe,117,146.25,711525,12278,723165,12466,6600000,4,4
kosofe,117,146.25,711525,12278,723165,12466,9000000,5,4
kosofe,117,146.25,711525,12278,723165,12466,6000000,3,5
kosofe,117,146.25,711525,12278,723165,12466,7727272.7272727275,4,5
lagos island,12,15,283173,150310,290732,156067,11369565.217391305,3,4
lagos mainland,0,0,561881,51852,573825,52990,12500000,2,2
surulere,618,772.5,819755,75580,831205,76830,4500000,3,2
surulere,618,772.5,819755,75580,831205,76830,3000000,2,3
surulere,618,772.5,819755,75580,831205,76830,3750000,3,3
surulere,618,772.5,819755,75580,831205,76830,8000000,6,7
eti-osa,383,478.75,1296256,3796,1341370,3300,5450000,1,1
eti-osa,383,478.75,1296256,3796,1341370,3300,20000000,4,1
eti-osa,383,478.75,1296256,3796,1341370,3300,17750000,5,1
eti-osa,383,478.75,1296256,3796,1341370,3300,3820930.2325581396,2,2
eti-osa,383,478.75,1296256,3796,1341370,3300,7000000,1,4
eti-osa,383,478.75,1296256,3796,1341370,3300,8038297.85106383,4,4
eti-osa,383,478.75,1296256,3796,1341370,3300,14000000,5,4
eti-osa,383,478.75,1296256,3796,1341370,3300,8761292.960720131,4,5
eti-osa,383,478.75,1296256,3796,1341370,3300,12450000,5,5
eti-osa,383,478.75,1296256,3796,1341370,3300,7076923.076923077,4,6
eti-osa,383,478.75,1296256,3796,1341370,3300,12022388.059701493,5,6
eti-osa,383,478.75,1296256,3796,1341370,3300,2000000,2,8
ikeja,0,0,1074244,21467,1108892,22122,3466666.6666666665,2,3
ikeja,0,0,1074244,21467,1108892,22122,7500000,3,3
ikeja,0,0,1074244,21467,1108892,22122,12000000,2,4
ikorodu,62,77.5,653615,2562,665490,2655,1200000,3,4
kosofe,117,146.25,711525,12278,723165,12466,4000000,3,3
lagos mainland,0,0,561881,51852,573825,52990,11666703.666666666,4,3
lagos mainland,0,0,561881,51852,573825,52990,12029419.11764706,3,4
lagos mainland,0,0,561881,51852,573825,52990,6833333.333333333,4,4
mushin,144,180,819755,75580,831205,76830,1000000,2,2
ojo,0,0,460848,9020,469068,9120,700000,2,3
