LGA,_2023_Population,_2023_Density_per_sq_km,no_of_business_2023,unemployment_2023,_2024_Population,_2024_Density_per_sq_km,no_of_business_2024,Unemployment_2024,average_rent,Bedrooms,Toilets
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,20000000,4,1
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,18000000,5,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,18000000,6,8
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,18000000,6,7
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,17750000,5,1
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,17500000,3,1
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,15000000,7,5
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,15000000,4,6
Lagos Island,283173,150310,12,5.179999828338623,290732,156067,15,5.110000133514404,15000000,3,2
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,15000000,5,1
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,15000000,7,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,14000000,5,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,13937500,6,7
Lagos Island,283173,150310,12,5.179999828338623,290732,156067,15,5.110000133514404,13500000,3,3
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,13200000,4,5
Lagos Island,283173,150310,12,5.179999828338623,290732,156067,15,5.110000133514404,12761905,4,5
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,12500000,2,2
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,12450000,5,5
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,12375000,4,4
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,12266667,4,5
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,12029419,3,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,12022388,5,6
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,12000000,6,6
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,12000000,2,4
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,12000000,5,1
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,11666704,4,3
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,11666667,4,6
Lagos Island,283173,150310,12,5.179999828338623,290732,156067,15,5.110000133514404,11369565,3,4
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,10000000,8,8
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,10000000,5,6
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,9750000,5,6
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,9500000,5,6
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,9000000,5,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,8761293,4,5
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,8250000,4,2
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,8038298,4,4
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,8000000,6,7
Lagos Island,283173,150310,12,5.179999828338623,290732,156067,15,5.110000133514404,7954545.5,2,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,7759864.5,3,4
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,7745454.5,2,3
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,7727272.5,4,5
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,7500000,4,3
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,7500000,3,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,7160000,3,5
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,7076923,4,6
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,7016129,3,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,7000000,1,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,6925000,2,1
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,6833333.5,4,4
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,6600000,4,4
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,6438406,3,3
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,6000000,3,5
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,5750000,4,3
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,5500000,4,5
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,5450000,1,1
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,5333333.5,3,4
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,5250000,4,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,5232892,2,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,5000000,5,7
Lagos Island,283173,150310,12,5.179999828338623,290732,156067,15,5.110000133514404,5000000,2,2
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,5000000,3,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,4775012.5,3,2
Mushin,819755,75580,144,5.170000076293945,831205,76830,180,5.099999904632568,4500000,2,3
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,4500000,3,2
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,4333333.5,2,4
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,4321428.5,3,4
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,4000000,3,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,3820930.25,2,2
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,3750000,3,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,3583333.25,1,2
Ikorodu,653615,2562,62,5.139999866485596,665490,2655,77.5,5.070000171661377,3500000,6,7
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,3466666.75,2,3
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,3000000,3,2
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,3000000,2,2
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,3000000,2,3
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,2780000.25,2,3
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,2275000,2,2
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,2000000,2,8
Kosofe,711525,12278,117,4.980000019073486,723165,12466,146.25,4.909999847412109,2000000,2,2
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,1933333.375,1,3
Surulere,819755,75580,618,5.03000020980835,831205,76830,772.5,4.960000038146973,1700000,1,1
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,1500000,3,2
Ikorodu,653615,2562,62,5.139999866485596,665490,2655,77.5,5.070000171661377,1200000,3,4
Ojo,460848,9020,0,5.010000228881836,469068,9120,0,4.940000057220459,1200000,3,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,1000000,1,8
Ikorodu,653615,2562,62,5.139999866485596,665490,2655,77.5,5.070000171661377,1000000,4,5
Mushin,819755,75580,144,5.170000076293945,831205,76830,180,5.099999904632568,1000000,2,2
Ikorodu,653615,2562,62,5.139999866485596,665490,2655,77.5,5.070000171661377,966666.6875,2,3
Eti-Osa,1296256,3796,383,5.199999809265137,1341370,3300,478.75,5.130000114440918,800000,1,6
Ojo,460848,9020,0,5.010000228881836,469068,9120,0,4.940000057220459,700000,2,3
Ikorodu,653615,2562,62,5.139999866485596,665490,2655,77.5,5.070000171661377,600000,3,2
Ikeja,1074244,21467,0,5.119999885559082,1108892,22122,0,5.050000190734863,500000,1,3
Ikorodu,653615,2562,62,5.139999866485596,665490,2655,77.5,5.070000171661377,300000,2,2
Lagos Mainland,561881,51852,0,5.21999979019165,573825,52990,0,5.150000095367432,250000,1,5
